symbol,date,type,value,message
BTC-USD,2025-10-12,HIGH_VOLUME,93710414091.0,"Volume anormalement élevé: 93,710,414,091"
BTC-USD,2025-10-14,HIGH_VOLUME,92212917403.0,"Volume anormalement élevé: 92,212,917,403"
BTC-USD,2025-10-17,HIGH_VOLUME,99703051669.0,"Volume anormalement élevé: 99,703,051,669"
BTC-USD,2025-10-21,HIGH_VOLUME,101194375480.0,"Volume anormalement élevé: 101,194,375,480"
BTC-USD,2025-11-04,HIGH_VOLUME,110967184773.0,"Volume anormalement élevé: 110,967,184,773"
BTC-USD,2025-11-07,HIGH_VOLUME,92168030081.0,"Volume anormalement élevé: 92,168,030,081"
BTC-USD,2025-11-13,HIGH_VOLUME,101546815416.0,"Volume anormalement élevé: 101,546,815,416"
BTC-USD,2024-01-08,EXTREME_MOVE,6.889378335779228,Mouvement de prix extrême: 6.89%
BTC-USD,2024-01-12,EXTREME_MOVE,-7.581464687080208,Mouvement de prix extrême: -7.58%
BTC-USD,2024-02-26,EXTREME_MOVE,5.391435284481116,Mouvement de prix extrême: 5.39%
BTC-USD,2024-02-28,EXTREME_MOVE,9.493531994124748,Mouvement de prix extrême: 9.49%
BTC-USD,2024-03-04,EXTREME_MOVE,8.173591649219114,Mouvement de prix extrême: 8.17%
BTC-USD,2024-03-05,EXTREME_MOVE,-6.628402455760396,Mouvement de prix extrême: -6.63%
BTC-USD,2024-03-16,EXTREME_MOVE,-5.891115205258901,Mouvement de prix extrême: -5.89%
BTC-USD,2024-03-19,EXTREME_MOVE,-8.343356981432349,Mouvement de prix extrême: -8.34%
BTC-USD,2024-03-20,EXTREME_MOVE,9.692504638897837,Mouvement de prix extrême: 9.69%
BTC-USD,2024-04-02,EXTREME_MOVE,-6.104798598949213,Mouvement de prix extrême: -6.10%
BTC-USD,2024-05-03,EXTREME_MOVE,6.370405294167747,Mouvement de prix extrême: 6.37%
BTC-USD,2024-05-15,EXTREME_MOVE,7.659609250545496,Mouvement de prix extrême: 7.66%
BTC-USD,2024-05-20,EXTREME_MOVE,7.800174241430358,Mouvement de prix extrême: 7.80%
BTC-USD,2024-07-04,EXTREME_MOVE,-5.311634426354228,Mouvement de prix extrême: -5.31%
BTC-USD,2024-07-15,EXTREME_MOVE,6.715755212726138,Mouvement de prix extrême: 6.72%
BTC-USD,2024-08-02,EXTREME_MOVE,-6.032105869640059,Mouvement de prix extrême: -6.03%
BTC-USD,2024-08-05,EXTREME_MOVE,-7.098647891315101,Mouvement de prix extrême: -7.10%
BTC-USD,2024-08-08,EXTREME_MOVE,12.144256099404904,Mouvement de prix extrême: 12.14%
BTC-USD,2024-08-23,EXTREME_MOVE,6.148267182135592,Mouvement de prix extrême: 6.15%
BTC-USD,2024-08-27,EXTREME_MOVE,-5.369739018896724,Mouvement de prix extrême: -5.37%
BTC-USD,2024-10-14,EXTREME_MOVE,5.0830232433260125,Mouvement de prix extrême: 5.08%
BTC-USD,2024-11-06,EXTREME_MOVE,9.053568676993894,Mouvement de prix extrême: 9.05%
BTC-USD,2024-11-11,EXTREME_MOVE,10.223522760015435,Mouvement de prix extrême: 10.22%
BTC-USD,2024-12-18,EXTREME_MOVE,-5.746210601989676,Mouvement de prix extrême: -5.75%
BTC-USD,2025-01-07,EXTREME_MOVE,-5.050430525956884,Mouvement de prix extrême: -5.05%
BTC-USD,2025-03-02,EXTREME_MOVE,9.550452979612857,Mouvement de prix extrême: 9.55%
BTC-USD,2025-03-03,EXTREME_MOVE,-8.682040111941614,Mouvement de prix extrême: -8.68%
BTC-USD,2025-03-09,EXTREME_MOVE,-6.44603432710168,Mouvement de prix extrême: -6.45%
BTC-USD,2025-03-11,EXTREME_MOVE,5.513944554449135,Mouvement de prix extrême: 5.51%
BTC-USD,2025-04-06,EXTREME_MOVE,-6.3353396427263675,Mouvement de prix extrême: -6.34%
BTC-USD,2025-04-09,EXTREME_MOVE,8.26253916648998,Mouvement de prix extrême: 8.26%
BTC-USD,2025-04-22,EXTREME_MOVE,6.767662701452015,Mouvement de prix extrême: 6.77%
BTC-USD,2025-05-08,EXTREME_MOVE,6.3990437464578775,Mouvement de prix extrême: 6.40%
BTC-USD,2025-10-10,EXTREME_MOVE,-6.976852117831744,Mouvement de prix extrême: -6.98%
GOOGL,2024-02-02,HIGH_VOLUME,62499600.0,"Volume anormalement élevé: 62,499,600"
GOOGL,2024-03-18,HIGH_VOLUME,69273700.0,"Volume anormalement élevé: 69,273,700"
GOOGL,2024-04-26,HIGH_VOLUME,64665300.0,"Volume anormalement élevé: 64,665,300"
GOOGL,2024-10-30,HIGH_VOLUME,68890800.0,"Volume anormalement élevé: 68,890,800"
GOOGL,2024-11-21,HIGH_VOLUME,59734400.0,"Volume anormalement élevé: 59,734,400"
GOOGL,2024-12-11,HIGH_VOLUME,67894100.0,"Volume anormalement élevé: 67,894,100"
GOOGL,2024-12-20,HIGH_VOLUME,63462900.0,"Volume anormalement élevé: 63,462,900"
GOOGL,2025-02-05,HIGH_VOLUME,70373900.0,"Volume anormalement élevé: 70,373,900"
